episode_index,npz_name,seed,source_success,source_ever_attached,source_final_drawer,source_max_drawer,replay_mode,success,ever_attached,attach_step,first_near_handle_step,first_major_open_step,final_drawer_fraction,max_drawer_fraction,mean_position_error_m,p95_position_error_m,max_position_error_m,mean_handle_distance_m,handle_distance_vs_source_error,failure_stage,attach_threshold_m,min_handle_distance_m,n_recorded_steps,attach_threshold_sweep_m
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,open_loop,False,False,,,34,0.0,1.0,0.13643480837345123,0.32547674775123603,0.4355785548686981,0.2799029052257538,0.1995300054550171,never_near_handle,0.05,0.056033771485090256,200,0.05
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,state_anchored_full_state_no_attach,False,True,65,85,65,1.0,1.0,0.0782633051276207,0.2611504137516022,0.3964632451534271,0.21031959354877472,0.10760458558797836,pull_no_open,0.05,0.033695679157972336,200,0.05
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,state_anchored_legacy,True,True,45,,65,0.9027606844902039,0.9027606844902039,0.08011665940284729,0.2733216658234596,0.3964632451534271,0.23012720048427582,0.10500895977020264,success,0.05,0.12736745178699493,66,0.05
3,seed_007_branch2_phase_scaled_ep3.npz,7,True,True,1.0,1.0,state_anchored_robot_only_no_attach,False,True,69,,64,0.9936591982841492,1.0,0.08262725174427032,0.3455807060003281,0.5008100867271423,0.22665292024612427,0.12017618864774704,never_near_handle,0.05,0.05579842999577522,200,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,open_loop,False,False,,,,0.00031124273664318025,0.18001799285411835,0.09386231750249863,0.2565888710319994,0.5228617787361145,0.20201587677001953,0.05903448909521103,never_near_handle,0.05,0.06251408159732819,200,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,state_anchored_full_state_no_attach,False,False,,,19,0.15159708261489868,1.0,0.08790325373411179,0.27418218106031417,0.39016959071159363,0.16675901412963867,0.06268328428268433,never_near_handle,0.05,0.09471400827169418,200,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,state_anchored_legacy,False,True,39,,19,0.0,1.0,0.08650138229131699,0.27418218106031417,0.505997359752655,0.21484681963920593,0.07308738678693771,never_near_handle,0.05,0.09275467693805695,200,0.05
25,seed_008_branch2_phase_scaled_ep0.npz,8,True,True,0.05803622677922249,1.0,state_anchored_robot_only_no_attach,False,False,,,,0.0,0.0,0.08032143115997314,0.27418218106031417,0.38954561948776245,0.1720743179321289,0.0629177987575531,never_near_handle,0.05,0.06013106554746628,200,0.05
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,open_loop,True,True,51,,52,0.2731584310531616,1.0,0.06877537816762924,0.15705933496356003,0.5779348611831665,0.16871345043182373,0.0754416361451149,success,0.05,0.07838362455368042,54,0.05
138,seed_012_branch2_phase_scaled_ep4.npz,12,True,True,0.9659833312034607,1.0,state_anchored_full_state_no_attach,False,True,36,,13,0.13989852368831635,1.0,0.13795025646686554,0.4295509308576584,0.7639216184616089,0.32732662558555603,0.16512572765350342,never_near_handle,0.05,0.06268752366304398,200,0.05
